"country","decile","min_n","mean_nwx","mean_wt","share_vol","share_recip"
"ES",5,491,80132.5044500732,33751.2364908835,0.0235911350183337,0.341777529290674
"ES",6,549,124595.839435649,30189.7126673775,0.0211321646896766,0.388411334917551
"ES",7,518,177388.247587956,38575.7886894063,0.0269192784673959,0.399161860565889
"ES",8,576,247406.490122488,58233.9167150911,0.0407123996328768,0.445943548058159
"ES",9,652,380750.308794329,76862.5033245988,0.0538454251973307,0.515386417568893
"ES",10,1560,1280843.82915141,192312.999331738,0.134093018450426,0.575470065048988
"FR",1,1133,-724876.730548864,984664.204184397,0.664671809107165,0.953697065509242
"FR",2,587,918.839706215748,9909.11997679781,0.00669659885101714,0.222668951197165
"FR",3,575,8894.69057139738,10085.3164515928,0.0068015533299178,0.177376080526787
"FR",4,683,24158.4984719558,23176.7466888286,0.0156376397057407,0.264234065981335
"FR",5,855,58192.4981791045,35883.9483208604,0.0242145422139257,0.34794680567715
"FR",6,1093,121395.40299215,52470.7874512743,0.0354686124426967,0.449495573048517
"FR",7,1156,195774.854349008,45522.5732336189,0.0306788145239465,0.459245143188287
"FR",8,1297,295720.235499473,68434.1944903213,0.0461808874702602,0.507180458379657
"FR",9,1548,458537.641748963,80999.4988415596,0.054723562764538,0.528435643051219
"FR",10,2985,1399903.10153557,170454.465474097,0.114925979590793,0.648616209280516
"GR",1,301,-400909.166345971,575527.15190394,0.671662409176288,0.989541042998071
"GR",2,346,-32173.3205759185,86466.3985710852,0.0775988776312409,0.483246601411822
"GR",3,395,3142.83269355141,19287.2958789362,0.0179666635017516,0.178963934471224
"GR",4,393,18471.8960040237,21396.2788851456,0.0318294961074406,0.161031258256277
"GR",5,305,43529.2992635803,27151.1333280547,0.0328714451404285,0.21520741885534
"GR",6,320,75398.3555830998,23626.5909122779,0.0270144971887225,0.198060317866103
"GR",7,298,112638.081454021,21789.521128475,0.0245594154632588,0.166108310535783
"GR",8,293,162725.212058005,28698.9019553568,0.0368874029000388,0.135719050496213
"GR",9,297,241035.809427627,20056.83729964,0.025468226639204,0.118527144597701
"GR",10,378,620980.813350828,43152.597403714,0.0541415662516261,0.192551121363553
"HR",1,157,-80056.3158807769,184968.756081455,0.497692484570195,0.957216599534012
"HR",2,146,3262.93610616158,20325.0550220354,0.0544812468017643,0.269656831573952
"HR",3,148,24280.4460238682,22468.8206237921,0.0605533589554968,0.241960455390819
"HR",4,134,51437.8324708337,29154.6042303091,0.078074287118156,0.211774673136682
"HR",5,147,76604.632860296,16719.332661029,0.0447920800001849,0.190628472982755
"HR",6,146,107697.892014312,11544.8062558982,0.0310559929958109,0.124941971702187
"HR",7,130,143836.378610851,27370.4911139891,0.0732213474794691,0.163551086103737
"HR",8,123,192376.746285722,15337.5910167553,0.0413578415218047,0.197415424302274
"HR",9,133,282436.64516157,17713.8103624354,0.0473417057184462,0.116607108920303
"HR",10,147,662723.859091897,26750.1657511248,0.0714296548386725,0.186538513722195
"HU",1,677,-64427.1059891074,109453.352542452,0.525853830581909,0.732501024610773
"HU",2,692,3135.8004941982,6244.25395369569,0.0299679973403981,0.16143202395172
"HU",3,656,18806.4881800025,8383.74632654036,0.0403306481713012,0.214453244507452
"HU",4,618,37777.3148221077,8231.56802148522,0.0394530466040024,0.219428836570694
"HU",5,637,56504.9633120849,6102.48565746426,0.0293119416055366,0.177854046709988
"HU",6,612,76631.7433863685,8765.76989902896,0.0420934417404745,0.185578585229087
"HU",7,672,101199.977268285,10094.2746020301,0.0484106992644637,0.183700673385127
"HU",8,678,136528.627495152,9966.3075812342,0.0478895789147152,0.193937936467247
"HU",9,746,202975.926885052,14118.607573388,0.0677115202176167,0.233957989343013
"HU",10,943,562731.152255051,26890.5865200638,0.128977295559583,0.292796928135951
"LT",1,154,-90247.9733186969,181318.304076586,0.66978972529187,0.969989399387175
"LT",2,136,3997.19300033801,17731.1589377929,0.0658445494957317,0.306521573807664
"LT",3,115,19339.6104597226,14900.7694125824,0.0547590980944255,0.295143531010032
"LT",4,116,34701.1654695382,5807.63647185761,0.0212616104783178,0.168775299726197
"LT",5,129,50012.6401390038,10251.189322881,0.037999891901141,0.259010986146021
"LT",6,154,66484.8489404113,6266.83955534423,0.0228931228760159,0.119472124441587
"LT",7,200,84266.7945607185,6076.91170116712,0.0224693344017361,0.110290256694502
"LT",8,204,108595.268425579,7414.88639080854,0.0272539576456877,0.197257200797351
"LT",9,218,153496.63221012,11043.8380524945,0.0407386466799058,0.206710721077506
"LT",10,240,562102.111120391,10128.8814240827,0.0369900631351689,0.167347641142528
"LU",1,302,-1879948.7637072,2804902.62691438,0.730308997531562,0.730805075173747
"LU",2,200,10802.5714369345,7919.94793664639,0.00204744249367554,0.027099733746149
