"country","scenario","p2","cv1_emp","cv2_emp","cor_nwx_wt","rho_mech_emp","robustness_margin","non_binding","predicted_paradox","observed_paradox"
"ES_2023","baseline_3pct",0.444448493572235,9.78906388101001,8.59927999874449,-0.480077260321041,1.24232053054372,1.72239779086476,TRUE,TRUE,TRUE
"ES_2023","zero_cap",0.242135870753525,6.25594679853405,7.36239393918701,-0.0847259836136663,0.797455048360108,0.882181031973775,FALSE,TRUE,TRUE
"ES_2023","capped_3pct",0.275205239028265,6.37983005988699,5.09791711921286,0.066803769752366,1.33734468717324,1.27054091742088,TRUE,TRUE,TRUE
"ES_2023","gradient",0.254672604067883,6.32521407532525,7.46861073806335,-0.0865791382351929,0.789867402702552,0.876446540937745,FALSE,TRUE,TRUE
"FR_2023","baseline_3pct",0.446411687127807,9.56638582464482,10.8808354805267,-0.855818973440207,0.775087250931491,1.6309062243717,FALSE,TRUE,TRUE
"FR_2023","zero_cap",0.20559055192829,3.4912397896313,5.4796448230437,-0.216241217687864,0.516476217469429,0.732717435157293,FALSE,TRUE,TRUE
"FR_2023","capped_3pct",0.228935912620115,3.33351544638026,3.3825562055003,0.101387924429373,0.981165572777258,0.879777648347885,FALSE,TRUE,TRUE
"FR_2023","gradient",0.220551678858735,3.36312975711372,5.78054447855202,-0.132710261869063,0.420939879744817,0.55365014161388,FALSE,TRUE,TRUE
"GR_2023","baseline_3pct",0.507540786433092,14.4411981702389,4.0227947482816,-0.681310473487131,5.29618532518533,5.97749579867246,TRUE,TRUE,TRUE
"GR_2023","zero_cap",0.268858910906434,2.53351628531429,3.23290215181569,-0.289633613607453,0.693134685977826,0.982768299585279,FALSE,TRUE,TRUE
"GR_2023","capped_3pct",0.252887353093008,1.98393338443334,2.60067127301529,-0.0553512761878987,0.670107104936508,0.725458381124407,FALSE,TRUE,TRUE
"GR_2023","gradient",0.182664954075178,1.83223096543448,3.8504830477571,-0.106396341742326,0.294183782923465,0.400580124665791,FALSE,TRUE,TRUE
"HR_2023","baseline_3pct",0.203273384173379,1.68171705362503,2.67009406548101,-0.183636159311636,0.507639119370651,0.691275278682287,FALSE,TRUE,TRUE
"HR_2023","zero_cap",0.128101821161175,1.50207690972229,2.87927455164624,-0.0294964962534844,0.419194201503474,0.448690697756958,FALSE,TRUE,TRUE
"HR_2023","capped_3pct",0.159692100722432,1.53904646209447,2.71722435160902,-0.0339470291608314,0.45246345914878,0.486410488309611,FALSE,TRUE,TRUE
"HR_2023","gradient",0.10984477280457,1.40910277856908,3.78162413269694,0.0737758462591449,0.230024517002228,0.156248670743083,FALSE,TRUE,TRUE
"HU_2023","baseline_3pct",0.155511776853529,2.14970503959647,4.20994306389925,-0.2360791491295,0.377324167363912,0.613403316493412,FALSE,TRUE,TRUE
"HU_2023","zero_cap",0.103389911990498,1.95635664898121,3.45278768346934,-0.0328472693410739,0.49751259056971,0.530359859910784,FALSE,TRUE,TRUE
"HU_2023","capped_3pct",0.110540311413033,1.94279808194784,3.10605616539573,0.0498216124590409,0.565009253711641,0.5151876412526,FALSE,TRUE,TRUE
"HU_2023","gradient",0.0994760719114653,1.88962021940905,3.93986194529235,0.0854082793813059,0.390946625636279,0.305538346254973,FALSE,TRUE,TRUE
"LT_2023","baseline_3pct",0.215730837625467,4.56125144942076,4.60858612135779,-0.101311256722541,0.986889103355207,1.08820036007775,FALSE,TRUE,TRUE
"LT_2023","zero_cap",0.145688365750948,4.16087693589491,5.02812456790814,-0.0195251332322372,0.79504192036259,0.814567053594827,FALSE,TRUE,TRUE
"LT_2023","capped_3pct",0.144306788704937,4.14201260052427,5.32861528820368,-0.0151770617289954,0.734381431816379,0.749558493545374,FALSE,TRUE,TRUE
"LT_2023","gradient",0.109981434609365,3.98287858678209,4.58907383559938,0.0708020724857886,0.850339165548297,0.779537093062508,FALSE,TRUE,TRUE
"LU_2023","baseline_3pct",0.33263022026386,3.56876034754634,4.76698266080339,-0.536587193343836,0.602327335853096,1.13891452919693,FALSE,TRUE,TRUE
"LU_2023","zero_cap",0.175504642979337,2.40413543800676,3.52862701049748,-0.0817245662807283,0.597624465351199,0.679349031631927,FALSE,TRUE,TRUE
"LU_2023","capped_3pct",0.172970482229324,2.3202866926,3.27199287766641,0.0497206595617568,0.635826371537984,0.586105711976227,FALSE,TRUE,TRUE
"LU_2023","gradient",0.135116584615163,2.19187053015246,4.02870101741369,0.10697627037523,0.442989586280295,0.336013315905065,FALSE,TRUE,TRUE
"LV_2023","baseline_3pct",0.078885558140915,2.9916023344686,5.66548291254991,-0.0688515112921876,0.469557510389762,0.53840902168195,FALSE,TRUE,TRUE
"LV_2023","zero_cap",0.051250854935382,2.893521567028,5.19623352718588,0.0109382186531025,0.523385679854106,0.512447461201004,FALSE,TRUE,TRUE
"LV_2023","capped_3pct",0.0548684005921899,2.89223588444388,5.38126205161643,0.0394591338199053,0.499058081718526,0.45959894789862,FALSE,TRUE,TRUE
"LV_2023","gradient",0.0486920632242604,2.85993005657068,5.7515726133824,0.0952179543290391,0.45850056062265,0.363282606293611,FALSE,TRUE,TRUE
"MT_2023","baseline_3pct",0.236055158756226,1.51848762792332,2.6885995306081,-0.364405699287939,0.378496086996247,0.742901786284186,FALSE,TRUE,TRUE
"MT_2023","zero_cap",0.153390762717863,1.26759339713752,2.54662700230279,-0.110139576225274,0.360845909451993,0.470985485677267,FALSE,TRUE,TRUE
"MT_2023","capped_3pct",0.16775332493119,1.244549013531,2.28453326425863,-0.00980164277010752,0.414674421925023,0.42447606469513,FALSE,TRUE,TRUE
"MT_2023","gradient",0.131959226211489,1.16985307423575,2.40440351570186,0.124217536338058,0.367305088960455,0.243087552622397,FALSE,TRUE,TRUE
"NL_2023","baseline_3pct",0.087659787789123,1.96351344287153,8.53838195324817,-0.214074591909373,0.03210276726736,0.246177359176733,FALSE,TRUE,TRUE
"NL_2023","zero_cap",0.0552573856519029,1.7817865566022,6.12580817487551,0.0565631555086768,0.198828190926965,0.142265035418288,FALSE,TRUE,TRUE
"NL_2023","capped_3pct",0.0596959446619403,1.74633525765021,6.17883978581224,0.132267920243817,0.179291209434808,0.0470232891909912,FALSE,TRUE,TRUE
"NL_2023","gradient",0.0640628398454711,1.78746711028516,13.1383719591813,-0.179362724784504,-0.110849522269301,0.0685132025152031,FALSE,TRUE,TRUE
"PT_2023","baseline_3pct",0.230708626094801,3.05434361916923,5.59192693372427,-0.321054252312631,0.353580892592544,0.674635144905175,FALSE,TRUE,TRUE
"PT_2023","zero_cap",0.133078851171687,2.53755862810935,4.61241091090576,-0.0234066901782619,0.452873644441266,0.476280334619528,FALSE,TRUE,TRUE
"PT_2023","capped_3pct",0.143726061793363,2.45974840502282,4.16300783116398,0.141340529181182,0.498406856100505,0.357066326919323,FALSE,TRUE,TRUE
"PT_2023","gradient",0.156443643980888,2.74238465513202,11.0063198414697,-0.38496702668614,-0.0998889641832314,0.285078062502909,FALSE,TRUE,TRUE
"SI_2023","baseline_3pct",0.720297061830597,9.2874882849112,2.67185252246151,-0.639088826305642,7.58142185508814,8.22051068139378,TRUE,TRUE,TRUE
"SI_2023","zero_cap",0.351955589863715,3.04717076778256,2.56973154632888,-0.258084646437723,1.27879354532672,1.53687819176445,TRUE,TRUE,TRUE
"SI_2023","capped_3pct",0.285859985622288,2.58330166746168,2.26760002832821,-0.0082369614543012,1.19154642051948,1.19978338197378,TRUE,TRUE,TRUE
"SI_2023","gradient",0.196665534401269,2.26740881730863,3.95197584285508,-0.039094718868958,0.430622818462414,0.469717537331372,FALSE,TRUE,TRUE
"SK_2023","baseline_3pct",0.291817996161729,2.08391775599987,2.76138617759542,-0.405447225555453,0.637136130712106,1.04258335626756,FALSE,TRUE,TRUE
