"quantile","country","stat_name","estimate","se","ci_lo","ci_hi"
"iso50*","ES_2011","iso_nw",0.627450574981373,0.0376047738505627,0.55374521823427,0.701155931728476
"iso50*","ES_2011","iso_nwx",0.640534643462779,0.0234915663915001,0.594491173335438,0.686578113590119
"iso50*","ES_2011","iso_diff",-0.0130840684814053,0.0331712636099722,-0.0780997451569507,0.0519316081941402
"iso50*","US_2013","iso_nw",1.10050663488666,0.0399708546891153,1.022163759696,1.17884951007733
"iso50*","US_2013","iso_nwx",1.12472982936308,0.0854170966219703,0.957312319984021,1.29214733874214
"iso50*","US_2013","iso_diff",-0.0242231944764196,0.115361962941582,-0.25033264184192,0.20188625288908
"iso90","AT_2011","iso_nw",0.816582030063786,0.0321619835019508,0.753544542399963,0.87961951772761
"iso90","AT_2011","iso_nwx",0.953780708392331,0.0274009552417263,0.900074836118548,1.00748658066611
"iso90","AT_2011","iso_diff",-0.137198678328545,0.0192754784653859,-0.174978616120701,-0.0994187405363884
"iso90","EE_2013","iso_nw",0.657479687622131,0.0103692039425737,0.637156047894687,0.677803327349575
"iso90","EE_2013","iso_nwx",0.646801420934747,0.0162313957491971,0.614987885266321,0.678614956603174
"iso90","EE_2013","iso_diff",0.0106782666873839,0.00797225259315289,-0.00494734839519582,0.0263038817699635
"iso90","FR_2009","iso_nw",0.637435822821148,NA,NA,NA
"iso90","FR_2009","iso_nwx",0.636101961327797,NA,NA,NA
"iso90","FR_2009","iso_diff",0.00133386149335046,NA,NA,NA
"iso90","GR_2009","iso_nw",0.524414458452437,0.00422477350053285,0.516133902391393,0.532695014513482
"iso90","GR_2009","iso_nwx",0.577910302047072,0.00697292614551178,0.564243366801869,0.591577237292275
"iso90","GR_2009","iso_diff",-0.0534958435946346,0.0056042622000909,-0.0644801975068128,-0.0425114896824565
"iso90","IT_2014","iso_nw",0.54941269654816,NA,NA,NA
"iso90","IT_2014","iso_nwx",0.561543567601566,NA,NA,NA
"iso90","IT_2014","iso_diff",-0.0121308710534053,NA,NA,NA
"iso90","LU_2010","iso_nw",0.545370950148003,0.00605486290250698,0.533503418859089,0.557238481436917
"iso90","LU_2010","iso_nwx",0.548439675749529,0.0125498879470773,0.523841895373258,0.573037456125801
"iso90","LU_2010","iso_diff",-0.00306872560152651,0.0104893047400059,-0.023627762891938,0.017490311688885
"iso90","SK_2010","iso_nw",0.409628917502802,0.0099292412127312,0.390167604725849,0.429090230279755
"iso90","SK_2010","iso_nwx",0.42488289995722,0.00887175061441265,0.407494268752971,0.442271531161469
"iso90","SK_2010","iso_diff",-0.0152539824544177,0.00352925770623389,-0.0221713275586361,-0.00833663735019927
